CT - Segment 7: Goldhill to Copper Mountain,"(""['DIFFICULT"", 4.7, 7, ['CO', ""Front Range']""])","(""['Leashed'"", ["" 'Fall Colors"", 'River/Creek', 'Views', ""Wildlife']""])","('71', '29', '0', '0', '0', ['DIFFICULT', '0', '0', '0', '13', '88', '0', ']'])","3,650","3,026",13.1,Point to Point,"12,481","9,188",10,38
CDT: Gold Hill to Georgia Pass (CO Sec. 28),"(""['INTERMEDIATE/DIFFICULT"", 'None', 0, ['CO', ""Front Range']""])",['Unknown'],"('0', '0', '0', '0', '0', ['INTERMEDIATE/DIFFICULT', '0', '0', '33', '33', '33', '0', ']'])","4,452","1,865",20.4,Point to Point,"11,769","9,183",6,34
CDT: Georgia Pass to Argentine Pass (CO Sec. 29),"(""['DIFFICULT"", 4.0, 1, ['CO', ""Front Range']""])",['Unknown'],"('0', '100', '0', '0', '0', ['DIFFICULT', '0', '0', '0', '0', '100', '0', ']'])","6,930","5,527",22.1,Point to Point,"13,247","10,423",11,56
MF Ranch Creek Road #142,"(""['EASY"", 3.0, 1, ['CO', ""Front Range']""])","(""['Unknown'"", ["" 'Views']""])","('0', '0', '100', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",10,580,4.6,Point to Point,"9,560","8,989",2,6
Lone Pine Creek Trail #951,"(""['INTERMEDIATE"", 3.3, 3, ['CO', ""Front Range']""])",['Unknown'],"('0', '33', '67', '0', '0', ['INTERMEDIATE', '25', '25', '25', '0', '25', '0', ']'])","1,081",346,9.3,Point to Point,"7,092","6,232",3,17
East Blue River Trail #9104,"(""['EASY"", 'None', 0, ['CO', ""Front Range']""])",['Unknown'],"('0', '0', '0', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",60,13,1.2,Point to Point,"8,606","8,552",1,4
Bushee Creek Trail #9104.1,"(""['DIFFICULT"", 'None', 0, ['CO', ""Front Range']""])",['Unknown'],"('0', '0', '0', '0', '0', ['DIFFICULT', '0', '0', '0', '0', '100', '0', ']'])",0,699,0.7,Point to Point,"9,210","8,511",19,30
Elk Horn Trail #925,"(""['DIFFICULT"", 'None', 0, ['CO', ""Front Range']""])",['Unknown'],"('0', '0', '0', '0', '0', ['DIFFICULT', '0', '0', '0', '0', '100', '0', ']'])","2,070",22,3.5,Point to Point,"11,351","9,300",11,35
Piney Creek Trail,"(""['EASY"", 3.0, 2, ['CO', ""Front Range']""])",['Unknown'],"('0', '50', '0', '50', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",67,442,9.5,Point to Point,"5,996","5,618",1,6
OT Loop,"(""['INTERMEDIATE"", 4.0, 1, ['CO', ""Front Range']""])","(""['Leashed'"", ["" 'Geological Significance"", 'River/Creek', 'Wildflowers', ""Wildlife']""])","('0', '100', '0', '0', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",270,248,1.9,Loop,"5,845","5,630",5,13
Fern Canyon Trail,"(""['DIFFICULT"", 4.4, 7, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('47', '41', '12', '0', '0', ['DIFFICULT', '0', '0', '0', '0', '94', '6', ']'])","2,031",0,1.4,Point to Point,"8,413","6,382",28,59
North Fork Shanahan Trail,"(""['INTERMEDIATE"", 3.8, 8, ['CO', 'Front Range', ""Boulder']""])",['Off-leash'],"('25', '38', '25', '13', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",593,0,1.3,Point to Point,"6,338","5,745",9,13
Lower Big Bluestem Trail,"(""['EASY/INTERMEDIATE"", 3.3, 4, ['CO', 'Front Range', ""Boulder']""])","(""['Unknown'"", ["" 'River/Creek"", ""Views']""])","('0', '50', '25', '25', '0', ['EASY/INTERMEDIATE', '40', '20', '40', '0', '0', '0', ']'])",397,25,2.0,Point to Point,"5,877","5,504",4,15
South Fork Shanahan Trail,"(""['INTERMEDIATE"", 3.6, 5, ['CO', 'Front Range', ""Boulder']""])","(""['Off-leash'"", ["" 'Views']""])","('40', '0', '40', '20', '0', ['INTERMEDIATE', '0', '0', '100', '0', '0', '0', ']'])",672,37,1.9,Point to Point,"6,378","5,732",7,12
CU South Campus,"(""['EASY"", 3.3, 4, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'Lake', 'River/Creek', 'Views', ""Wildlife']""])","('0', '50', '25', '25', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",43,11,1.6,Point to Point,"5,404","5,361",1,2
South Boulder Creek Trail,"(""['EASY"", 3.8, 5, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', ""Wildlife']""])","('0', '80', '20', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",159,7,3.4,Point to Point,"5,432","5,280",1,2
Chapman Drive,"(""['EASY/INTERMEDIATE"", 4.2, 5, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', ""Wildlife']""])","('40', '40', '20', '0', '0', ['EASY/INTERMEDIATE', '20', '20', '60', '0', '0', '0', ']'])",954,13,2.6,Point to Point,"6,746","5,805",7,20
Boulder Creek Path,"(""['EASY/INTERMEDIATE"", 3.9, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Swimming', 'Views', ""Wildlife']""])","('25', '42', '33', '0', '0', ['EASY/INTERMEDIATE', '60', '10', '30', '0', '0', '0', ']'])",53,559,8.2,Point to Point,"5,741","5,193",1,10
Bear Creek Path,"(""['EASY"", 3.0, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', ""Wildlife']""])","('0', '50', '0', '50', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",1,140,2.0,Point to Point,"5,410","5,271",1,2
3 Bar Loop,"(""['INTERMEDIATE"", 4.0, 2, ['CO', ""Front Range']""])",['Unknown'],"('0', '100', '0', '0', '0', ['INTERMEDIATE', '0', '33', '67', '0', '0', '0', ']'])",374,377,2.6,Loop,"6,068","5,718",6,18
3 Bar Connector,"(""['EASY"", 4.0, 1, ['CO', ""Front Range']""])",['Unknown'],"('0', '100', '0', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",14,114,0.4,Point to Point,"5,767","5,654",5,10
Happy Canyon Trail,"(""['EASY"", 3.0, 1, ['CO', ""Front Range']""])",['Leashed'],"('0', '0', '100', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",118,11,2.2,Point to Point,"5,782","5,675",1,4
Foothills Path,"(""['EASY"", 2.0, 1, ['CO', 'Front Range', ""Boulder']""])",['Leashed'],"('0', '0', '0', '100', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",50,116,4.1,Point to Point,"5,352","5,236",1,4
Goose Creek Path,"(""['EASY"", 3.5, 2, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', ""Wildlife']""])","('0', '50', '50', '0', '0', ['EASY', '100', '0', '0', '0', '0', '0', ']'])",112,0,2.2,Point to Point,"5,325","5,213",1,2
Cottonwood Trail,"(""['EASY/INTERMEDIATE"", 3.2, 5, ['CO', 'Front Range', ""Boulder']""])","(""['Leashed'"", ["" 'Birding"", 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', ""Wildlife']""])","('40', '0', '20', '20', '20', ['EASY/INTERMEDIATE', '67', '0', '33', '0', '0', '0', ']'])",36,14,2.0,Point to Point,"5,291","5,264",0,2
